Type,CSV_Value,DB_Match,Status,Notes
CLASS,SILVERSNEAKERS® CLASSIC,SILVERSNEAKERS CLASSIS,FOUND,Normalization handles (DB has typo)
CLASS,AQUA ZUMBA®,AQUA ZUMBA®,FOUND,Exact match
CLASS,AQUA CIRCUIT,AQUA CIRCUIT,FOUND,Exact match
LOCATION,SPC,Sports Performance Center,FOUND,Code match
LOCATION,S,Studio,FOUND,Code match
LOCATION,MB,Mindbody,FOUND,Code match
LOCATION,C,Cycle Stadium,FOUND,Code match
LOCATION,EP,Pool,FOUND,Code match
LOCATION,FG,Family Gym,FOUND,Code match
INSTRUCTOR,MIKEY,MIKEY,FOUND,Exact match
INSTRUCTOR,JENN W,JENN W,FOUND,Exact match
INSTRUCTOR,BRENDA,BRENDA,FOUND,Exact match
INSTRUCTOR,FRIEDA,FRIEDA,FOUND,Exact match
INSTRUCTOR,MEGHAN,MEGHAN,FOUND,Exact match
INSTRUCTOR,DANIELLE,DANIELLE,FOUND,Exact match
INSTRUCTOR,NANETTE,NANETTE,FOUND,Exact match
INSTRUCTOR,JULIE,JULIE,FOUND,Exact match
INSTRUCTOR,BINH,,MISSING,Must add to instructors table
INSTRUCTOR,ERIN,ERIN,FOUND,Exact match
INSTRUCTOR,GIL,GIL,FOUND,Exact match
INSTRUCTOR,EVA,EVA,FOUND,Exact match
INSTRUCTOR,ROBERT,ROBERT,FOUND,Exact match
INSTRUCTOR,JAYME,JAYME,FOUND,Exact match
INSTRUCTOR,MARI,,MISSING,Must add to instructors table
INSTRUCTOR,SHELLEY,SHELLEY,FOUND,Exact match
INSTRUCTOR,VANESSA,VANESSA,FOUND,Exact match
INSTRUCTOR,KRISTA,KRISTA,FOUND,Exact match
INSTRUCTOR,KATHY F,KATHY F,FOUND,Exact match
INSTRUCTOR,DANIELLE B,DANIELLE B,FOUND,Exact match
INSTRUCTOR,MELANIE,MELANIE,FOUND,Exact match
INSTRUCTOR,CAROL,CAROL,FOUND,Exact match
INSTRUCTOR,SUSAN,SUSAN,FOUND,Exact match
INSTRUCTOR,LISA BA,LISA BA,FOUND,Exact match
INSTRUCTOR,RON,RON,FOUND,Exact match
INSTRUCTOR,SAM,SAM R,VERIFY,CSV has SAM - is this SAM R in DB?
INSTRUCTOR,TIA,TIA,FOUND,Exact match
INSTRUCTOR,TESS,TESS,FOUND,Exact match
INSTRUCTOR,SUZANNE,,MISSING,Must add to instructors table
INSTRUCTOR,KIM S,KIM S,FOUND,Exact match
INSTRUCTOR,MEREDITH,MEREDITH,FOUND,Exact match
INSTRUCTOR,WENDI,WENDI,FOUND,Exact match
INSTRUCTOR,KARIN,KARIN,FOUND,Exact match
INSTRUCTOR,CHAR,CHAR,FOUND,Exact match
INSTRUCTOR,SARA,SARA,FOUND,Exact match
INSTRUCTOR,ADRIANA,ADRIANA,FOUND,Exact match
INSTRUCTOR,MARIBEL,,MISSING,Must add to instructors table
INSTRUCTOR,LAURIE,LAURIE,FOUND,Exact match
INSTRUCTOR,JESS,JESS G,VERIFY,CSV has JESS - is this JESS G in DB?
INSTRUCTOR,MEGAN,MEGAN,FOUND,Exact match
INSTRUCTOR,KELLY,KELLY M or KELLY N,VERIFY,CSV has KELLY - which one in DB?
INSTRUCTOR,SANDY P,SANDY P,FOUND,Exact match
INSTRUCTOR,TAYLOR,,MISSING,Must add to instructors table
INSTRUCTOR,JOAN,JOAN,FOUND,Exact match
INSTRUCTOR,GIL G,GIL G,FOUND,Exact match
INSTRUCTOR,MINDY,MINDY,FOUND,Exact match
INSTRUCTOR,BARB D,BARB D,FOUND,Exact match
INSTRUCTOR,JESS G,JESS G,FOUND,Exact match
INSTRUCTOR,ANNA B,ANNA B,FOUND,Exact match
INSTRUCTOR,HEATHER R,HEATHER R,FOUND,Exact match
INSTRUCTOR,LISA B,LISA B,FOUND,Exact match
INSTRUCTOR,SUNNY,SUNNY,FOUND,Exact match
INSTRUCTOR,SAM R,SAM R,FOUND,Exact match
INSTRUCTOR,LAUREN,,MISSING,Must add to instructors table
INSTRUCTOR,LAURA,LAURA,FOUND,Exact match
INSTRUCTOR,KIM K,KIM K,FOUND,Exact match
INSTRUCTOR,JACKIE P,JACKIE P,FOUND,Exact match
INSTRUCTOR,OLGA,OLGA,FOUND,Exact match

